MARCA,ANO,TIPO_COMBO,SEGMENTO,SERIE,BIMESTRE,BIMESTRE/ANO,COLECAO,COLECAO/DISCIPLINA,CATALOGO,TIPO_PRODUTO,CAMPO_TÍTULO,DESCRIÇÃO COMBO,DESCRICAO COMPOSIÇÃO,ASSUNTO_AREA_DISCIPLINA,DESCRIÇÃO_COMBO_ESKOLARE,SUBTITULO_ESKOLARE,FREQUÊNCIA,TIPO,NCM,TRIBUTAÇÃO,INF_VOLUME,QTD. PAGINAS,PESO,ESTRUTURA,SKU_COMBO_EBS,SKU_KIT_EBS,SKU_ITENS_EBS,COD_LISTA,NOME SIMPLES LISTA,ANO_TABELA,SISTEMA LISTA,TIPO LISTA,DESCRIÇÃO LISTA DE PREÇO EBS,COD_LISTA,NOME SIMPLES LISTA,ANO_TABELA,SISTEMA LISTA,TIPO LISTA,DESCRIÇÃO LISTA DE PREÇO EBS,VALOR LISTA_TABELA_B2B,PESO AUXILIAR,CALCULOS PREÇO,VALOR LISTA_TABELA_B2C,ANALISE TABELA PREÇO_EBS,CHECK VALOR,OBSERVAÇÕES
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,ALUNO,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,COMBO_BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,"COMBO_BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO - KIT 1 - 1 BIMESTRE (LIVRO 1 - REGISTRO DE UM EXPLORADOR, LIVRO 1 - PARADIDÁTICO MEUS SENTIDOS )",COMBO - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - ALUNO,ANUAL,COMBO VIRTUAL,‭49019900‬,NÃO TRIBUTADO,-,-,"0,3528",COMBO,CCPD10EXPR25SB1,-,CCPD10EXPR25SB1,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"147,0000",100%,"441,0000","441,0000","441,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,ALUNO,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,CO EI BE EXPL 1B KT 01 NA DMUL AL,KIT_PADRÃO,KIT 1 - 1 BIMESTRE,KIT - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - ALUNO,ANUAL,KIT,‭49019900‬,NÃO TRIBUTADO,1,-,"0,3528",KIT,CCPD10EXPR25SB1,CCKPO0124L10102,CCKPO0124L10102,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"147,0000",-,"441,0000","441,0000","441,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,ALUNO,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,CO EI BE EXPL AN LV 01 MI REGI AL,REGISTRO DE UM EXPLORADOR,LIVRO 1 - REGISTRO DE UM EXPLORADOR,COMPONENTE - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - ALUNO,ANUAL,LIVRO,‭49019900‬,NÃO TRIBUTADO,1,72,"0,3120",COMPONENTE,CCPD10EXPR25SB1,CCKPO0124L10102,CCP24AP10A13001,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"135,0000",DIFERENÇA,"405,0000","405,0000","405,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,ALUNO,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,PE EI BE PARADID 81 ANUAL AL,PARADIDÁTICO MEUS SENTIDOS,LIVRO 1 - PARADIDÁTICO MEUS SENTIDOS,COMPONENTE - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - ALUNO,ANUAL,LIVRO,‭49019900‬,NÃO TRIBUTADO,1,12,"0,0408",COMPONENTE,CCPD10EXPR25SB1,CCKPO0124L10102,CC9786580191024,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"12,0000",FIXO 3x,"36,0000","36,0000","36,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,PROFESSOR,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO [PROFESSOR],BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO [PROFESSOR],COMBO_BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO [PROFESSOR],COMBO_BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO [PROFESSOR],COMBO - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - PROFESSOR,ANUAL,COMBO VIRTUAL,‭49019900‬,NÃO TRIBUTADO,-,-,"0,4285",COMBO,CCPD10EXPR25TB1,-,CCPD10EXPR25TB1,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"74,0000",100%,"222,0000","222,0000","222,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,PROFESSOR,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO [PROFESSOR],CO EI BE EXPL 1B KT 01 NA DMUL PR,KIT_PADRÃO,KIT 1 - 1 BIMESTRE,KIT - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - PROFESSOR,ANUAL,KIT,‭49019900‬,NÃO TRIBUTADO,1,-,"0,4285",KIT,CCPD10EXPR25TB1,CCKPO0124P10102,CCKPO0124P10102,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"74,0000",-,"222,0000","222,0000","222,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,PROFESSOR,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO [PROFESSOR],CO EI BE EXPL AN LV 01 MI REGI PR,REGISTRO DE UM EXPLORADOR,LIVRO 1 - REGISTRO DE UM EXPLORADOR,COMPONENTE - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - PROFESSOR,ANUAL,LIVRO,‭49019900‬,NÃO TRIBUTADO,1,72,"0,2693",COMPONENTE,CCPD10EXPR25TB1,CCKPO0124P10102,CCP24PP10A13001,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"50,0000",DIFERENÇA,"150,0000","150,0000","150,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,PROFESSOR,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO [PROFESSOR],PE EI BE PARADID 81 ANUAL AL,PARADIDÁTICO MEUS SENTIDOS,LIVRO 1 - PARADIDÁTICO MEUS SENTIDOS,COMPONENTE - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - PROFESSOR,ANUAL,LIVRO,‭49019900‬,NÃO TRIBUTADO,1,12,"0,0408",COMPONENTE,CCPD10EXPR25TB1,CCKPO0124P10102,CC9786580191024,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"12,0000",FIXO 3x,"36,0000","36,0000","36,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR,REGULAR,PROFESSOR,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO [PROFESSOR],CO EI DS EXPL 02 AN LV 01 TE GUIA PR,GUIA DE DESENVOLVIMENTO,LIVRO 1 - GUIA DE DESENVOLVIMENTO,COMPONENTE - ENSINO INFANTIL - BERCARIO - EXPLORAR - 1 BIMESTRE - REGULAR - PROFESSOR,ANUAL,LIVRO,‭49019900‬,NÃO TRIBUTADO,1,48,"0,1184",COMPONENTE,CCPD10EXPR25TB1,CCKPO0124P10102,CC101110138,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"12,0000",FIXO 3x,"36,0000","36,0000","36,0000","0,0000",
COC,2025,COMBO PADRAO,ENSINO INFANTIL,BERCARIO,1 BIMESTRE,12025,EXPLORAR,EXPLORAR/NOVAS,REGULAR,ALUNO,NENHUM,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,COMBO_BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO,"COMBO_BERCARIO (0 A 11 MESES) - SOLUCAO PADRAO - KIT 1 - 1 BIMESTRE (LIVRO 1 - REGISTRO DE UM EXPLORADOR, LIVRO 1 - PARADIDÁTICO MEUS SENTIDOS )",COMBO - ENSINO INFANTIL - BERCARIO - EXPLORAR/NOVAS - 1 BIMESTRE - REGULAR - ALUNO,ANUAL,COMBO VIRTUAL,‭49019900‬,NÃO TRIBUTADO,-,-,"0,3528",COMBO,CCPD10EXNR25SB1,-,CCPD10EXNR25SB1,118,COC BERCARIO EI-PADRAO,A25,B2B,PADRAO,118-A25_B2B COC BERCARIO EI-PADRAO-PADRAO,118,COC BERCARIO EI-PADRAO,A25,B2C,PADRAO,118-A25_B2C COC BERCARIO EI-PADRAO-PADRAO,"147,0000",100%,"441,0000","441,0000","441,0000","0,0000",
